committee,dnr1,dnr2,dnr3,study_type,op_report,op_materials,op_data,op_preregistration
Lund,2010/588,2013-327,,experiment,no,no,no,no
Linköping,2011-268,,,other,no,no,no,no
Linköping,2011/268-31,2012-14-32,,experiment,no,no,no,no
Linköping,2012-199,,,other,yes,no,no,no
Linköping,2012-220,2013-164-32,2013-493-32,other,no,no,no,no
Uppsala,2013-073,,,other,no,no,no,no
Uppsala,2013-076,,,other,no,no,no,no
Uppsala,2013-133,,,experiment,no,no,no,no
Uppsala,2013-150,,,experiment,no,NA/partial,no,no
Uppsala,2013-151,,,experiment,no,NA/partial,no,no
Uppsala,2013-161,,,experiment,no,NA/partial,no,no
Uppsala,2013-168,,,experiment,NA/partial,no,no,no
Stockholm,2013-1701,,,other,no,no,no,no
Stockholm,2013-1705,,,partial,no,no,no,no
Uppsala,2013-173,,,experiment,no,NA/partial,no,no
Stockholm,2013-1784,,,other,no,NA/partial,no,no
Stockholm,2013-1818,,,other,no,NA/partial,no,no
Stockholm,2013-1848,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-1889,,,experiment,no,no,no,no
Stockholm,2013-1900,,,other,no,no,no,no
Uppsala,2013-191,,,experiment,no,NA/partial,no,yes
Stockholm,2013-1920,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-1921,,,experiment,no,no,no,no
Stockholm,2013-1941,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-1949,,,other,no,NA/partial,no,no
Stockholm,2013-1967,,,other,no,no,no,yes
Lund,2013-197,,,other,no,no,no,no
Stockholm,2013-1980,,,other,no,NA/partial,no,no
Stockholm,2013-1982,,,other,NA/partial,no,no,no
Stockholm,2013-2000,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-2004,,,other,no,NA/partial,no,no
Stockholm,2013-2010,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-2015,,,other,no,no,no,no
Lund,2013-205,,,other,no,no,no,no
Stockholm,2013-2082,,,experiment,no,no,no,yes
Linköping,2013-214,,,other,no,NA/partial,no,no
Lund,2013-217,,,experiment,no,no,no,no
Linköping,2013-222-31,,,other,no,no,no,no
Linköping,2013-223,,,other,no,no,no,no
Linköping,2013-235,,,partial,no,no,no,no
Linköping,2013-236,2014-96,,experiment,no,no,no,no
Linköping,2013-238,2014-326,,other,NA/partial,no,no,no
Linköping,2013-239,,,experiment,no,no,no,no
Lund,2013-242,,,other,no,no,no,no
Linköping,2013-243-31,,,other,no,NA/partial,NA/partial,no
Linköping,2013-244,2015-246,,other,no,no,no,no
Linköping,2013-252-31,,,other,yes,no,no,no
Uppsala,2013-298,,,experiment,no,no,no,no
Lund,2013-306,,,other,no,no,no,no
Uppsala,2013-309,,,other,no,no,no,no
Lund,2013-320,,,other,no,no,no,no
Linköping,2013-332-31,,,other,no,no,no,no
Lund,2013-336,,,experiment,no,NA/partial,no,yes
Uppsala,2013-348,,,experiment,no,no,no,no
Stockholm,2013-353,,,experiment,no,NA/partial,no,no
Uppsala,2013-414,,,other,no,no,no,no
Uppsala,2013-427,,,other,no,no,no,no
Uppsala,2013-432,,,other,no,no,no,no
Linköping,2013-452,,,experiment,no,no,no,no
Stockholm,2013-455,,,other,no,NA/partial,NA/partial,no
Uppsala,2013-458,,,other,no,NA/partial,NA/partial,no
Linköping,2013-458-31,,,experiment,no,no,no,no
Uppsala,2013-463,,,other,no,no,no,no
Linköping,2013-464,,,other,no,no,no,no
Uppsala,2013-473,,,partial,no,no,no,no
Uppsala,2013-474,,,experiment,no,no,no,no
Uppsala,2013-483,,,experiment,no,no,no,no
Linköping,2013-490,,,experiment,no,no,no,no
Stockholm,2013-524,,,experiment,no,no,no,no
Stockholm,2013-595,,,other,no,no,no,no
Stockholm,2013-597,,,experiment,no,no,no,no
Stockholm,2013-607,,,other,yes,NA/partial,NA/partial,no
Stockholm,2013-608,,,other,NA/partial,no,NA/partial,no
Lund,2013-625,,,other,NA/partial,no,no,no
Lund,2013-638,,,other,no,no,no,no
Stockholm,2013-705,,,other,no,NA/partial,no,no
Stockholm,2013-710,,,other,no,NA/partial,no,no
Lund,2013-714,,,experiment,no,no,no,no
Stockholm,2013-715,,,experiment,no,no,no,no
Stockholm,2013-718,,,other,no,no,no,no
Stockholm,2013-719,,,experiment,no,no,no,no
Stockholm,2013-730,,,other,no,NA/partial,NA/partial,no
Lund,2013-759,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-762-31,,,experiment,no,NA/partial,no,no
Lund,2013-771,,,other,no,NA/partial,no,no
Lund,2013-778,,,experiment,no,no,no,no
Lund,2013-780,,,other,no,NA/partial,no,no
Stockholm,2013-780,,,other,no,NA/partial,NA/partial,no
Stockholm,2013-803,,,other,no,NA/partial,no,no
Stockholm,2013-809,,,other,no,NA/partial,no,no
Linköping,2013/221-31,2013-391,,other,no,NA/partial,NA/partial,no
Göteborg,371-13,,,experiment,no,NA/partial,no,no
Göteborg,373-13,,,other,no,no,no,no
Göteborg,375-13,,,other,no,no,no,no
Göteborg,388-13,,,other,no,no,no,no
Göteborg,414-13,,,other,no,no,no,no
Göteborg,424-13,,,experiment,no,no,no,no
Göteborg,429-13,,,other,no,no,no,no
Göteborg,437-13,,,experiment,no,NA/partial,no,yes
Göteborg,987-13,,,partial,no,NA/partial,no,no
Göteborg,993-13,,,other,no,NA/partial,NA/partial,no
Linköping,M41-09,2013-216,,other,no,no,no,no
